AuthorID,affiliatedTo
2107195964,26
2108429088,26
2109120041,26
2109429960,26
2110604335,26
2113659613,26
21453720,26
2146625820,26
2149680415,26
2156774662,26
2157110,26
2157180,26
2157888039,26
2192229,26
2290924,26
2344878,26
2380959,26
2410416,26
2462051,26
2462507,26
2511655,26
2594694,26
2630832,26
2646729,26
2710556,26
2757008,26
2853955,26
2861254,26
2928650,26
2930640,26
2954028,26
2976537,26
2991483,26
3004101,26
30093044,26
3021334,26
3048844,26
3064434,26
3070748,26
3084719,26
3103394,26
3117731,26
31189713,26
31274071,26
31844891,26
3185190,26
3194698,26
32299417,26
3231485,26
32398080,26
3251767,26
32809685,26
32900482,26
3348997,26
34193597,26
34267071,26
34759333,26
34778017,26
35024991,26
35129457,26
35601196,26
35602027,26
35780711,26
38086808,26
38163342,26
38497468,26
38557030,26
3863128,26
39058160,26
39314353,26
39810944,26
39818716,26
39852597,26
39915344,26
39927388,26
40102815,26
40143570,26
40339623,26
4043407,26
4046229,26
4047178,26
4292093,26
4490075,26
4495030,26
46306086,26
46620118,26
46622799,26
47110831,26
47479295,26
47599186,26
47655614,26
47924597,26
47965122,26
48123456,26
4818857,26
48527910,26
48774107,26
48910600,26
4909421,26
49584016,26
49634438,26
49761656,26
50063384,26
50160727,26
50704895,26
50860274,26
50880890,26
51007691,26
51183499,26
5298662,26
5770339,26
5877233,26
6386345,26
6541629,26
6577405,26
6643629,26
6798308,26
6882251,26
71859734,26
7245634,26
7274012,26
7285418,26
87499809,26
91896756,26
92547994,26
97129520,26
50160727,27
13113212,28
143745419,28
144187716,28
145708783,28
1684099,28
1700379,28
1730627,28
2113576280,28
2152767053,28
2274828,28
2755529,28
33417684,28
48266322,28
50160727,28
7377952,28
103085511,29
104429093,29
104611809,29
1398763415,29
1403461430,29
1403907488,29
1403990677,29
1423463741,29
143764829,29
143767051,29
143911905,29
144003778,29
144159535,29
144260125,29
144368601,29
144458446,29
144466970,29
144819383,29
144860196,29
144921859,29
144933573,29
145134886,29
145169960,29
145214910,29
145518405,29
145701903,29
145822375,29
145891144,29
152904589,29
16653755,29
1693521,29
1699104,29
1701344,29
1712535,29
1714393,29
1727909,29
1728503,29
1730375,29
1734285,29
1745250,29
1747902,29
1786323,29
1798721,29
1808262,29
1867977,29
1872158,29
1904689,29
2025317073,29
2027326,29
2036826,29
2055519284,29
2080288,29
2085574581,29
2085601467,29
2108545399,29
2114739820,29
2116208869,29
2117540,29
2177685,29
2190426,29
2213749,29
2216839,29
2308961,29
2328876,29
2450191,29
2462512,29
2477489,29
2492862,29
2505322,29
2508026,29
25712374,29
2588593,29
2612382,29
2612993,29
2623657,29
